case_id,query,expected_code,difficulty,note
ET001,금요일 오후 3시 호텔 체크인,accommodation_checkin,easy,명시적 표현
ET002,토요일에 예약한 펜션 입실,accommodation_checkin,easy,숙소 입실
ET003,제주 도착하고 리조트 들어가기,accommodation_checkin,medium,체크인 간접 표현
ET004,저녁 6시 에어비앤비 숙박 시작,accommodation_checkin,medium,숙박 시작 표현
ET005,다음 주 월요일 레포트 제출,assignment,easy,명시적 표현
ET006,금요일 자정까지 팀플 결과물 내기,assignment,easy,제출 마감 표현
ET007,공모전 파일 최종 제출,assignment,easy,공모전 제출
ET008,내일까지 과제 마무리해서 올리기,assignment,medium,제출 간접 표현
ET009,토요일 민영이 생일,birthday,easy,지인 생일
ET010,다음 주 엄마 생신,birthday,easy,가족 생신
ET011,친구 생일 케이크 준비하기,birthday,medium,축하 준비
ET012,아빠 생일 저녁 약속,birthday,medium,식사와 생일 중 생일 우선
ET013,월요일 오전 전공 강의,class_session,easy,전공 수업
ET014,오늘 저녁 온라인 강의 듣기,class_session,easy,온라인 수업
ET015,수요일 교양 수업,class_session,easy,교양 수업
ET016,이번 주말 데이터 분석 특강 수강,class_session,medium,특강
ET017,금요일 친구랑 저녁 먹기,dining_meetup,easy,식사 약속
ET018,내일 가족 외식,dining_meetup,easy,가족 식사
ET019,점심에 거래처 담당자와 식사,dining_meetup,medium,업무 관계지만 식사가 핵심
ET020,주말에 소개팅으로 카페 가기,dining_meetup,medium,소개팅과 카페
ET021,다음 주 화요일 전공 중간고사,exam,easy,중간고사
ET022,토요일 한국사 자격시험,exam,easy,자격시험
ET023,오전 10시 온라인 퀴즈 응시,exam,easy,온라인 평가
ET024,내일 시험장 가서 모의고사 보기,exam,medium,시험 참여
ET025,월요일 고객사 미팅,external_work_meeting,easy,고객사 회의
ET026,오후 2시 거래처 방문 회의,external_work_meeting,easy,외부 관계자 회의
ET027,협력사 담당자와 온라인 미팅,external_work_meeting,easy,온라인 외부 미팅
ET028,납품 일정 논의하러 외부 업체 방문,external_work_meeting,medium,간접 표현
