case_id,query,expected_code,difficulty,note
PT001,금요일 오후 호텔 체크인,accommodation,easy,호텔
PT002,주말에 예약한 펜션 입실,accommodation,easy,펜션
PT003,제주 리조트에서 숙박,accommodation,easy,리조트
PT004,에어비앤비에 짐 풀기,accommodation,medium,숙소 간접 표현
PT005,인천공항 국제선 출국,airport,easy,인천공항
PT006,김포공항에서 비행기 타기,airport,easy,김포공항
PT007,제주공항 도착,airport,easy,제주공항
PT008,오전 8시 국내선 터미널 가기,airport,medium,공항 터미널
PT009,스타벅스에서 친구 만나기,cafe,easy,브랜드 카페
PT010,카페에서 노트북 작업,cafe,easy,카페 작업
PT011,투썸에서 팀플 회의,cafe,easy,카페 회의
PT012,커피 마시면서 이야기하기,cafe,medium,카페 간접 표현
PT013,저녁에 CGV 영화 관람,entertainment_venue,easy,영화관
PT014,주말 미술관 전시 보기,entertainment_venue,easy,미술관
PT015,야구장에서 경기 직관,entertainment_venue,easy,야구장
PT016,공연 보러 극장 가기,entertainment_venue,medium,공연장
PT017,학교 도서관에서 공부,library,easy,도서관
PT018,열람실에서 시험공부,library,easy,열람실
PT019,스터디룸에서 조별 과제,library,easy,스터디룸
PT020,조용한 곳에서 책 빌리고 공부하기,library,medium,도서관 간접 표현
PT021,저녁 8시 줌 회의,online,easy,Zoom
PT022,구글밋으로 온라인 면접,online,easy,Google Meet
PT023,디스코드에서 팀플하기,online,easy,Discord
PT024,회의 링크로 접속하기,online,medium,온라인 간접 표현
PT025,주말 서울숲 피크닉,park_outdoor,easy,공원
PT026,친구와 한강 산책,park_outdoor,easy,한강
PT027,공원에서 데이트,park_outdoor,easy,공원 만남
PT028,야외 광장에서 행사 보기,park_outdoor,medium,야외 장소
PT029,저녁에 고깃집 회식,restaurant,easy,고깃집
PT030,레스토랑에서 소개팅,restaurant,easy,레스토랑
PT031,친구와 이자카야 약속,restaurant,easy,이자카야
PT032,예약한 맛집에서 저녁 먹기,restaurant,medium,음식점
PT033,월요일 대학교 전공 수업,school,easy,대학교
PT034,AI관 세미나실에서 회의,school,easy,교내 건물
PT035,캠퍼스에서 팀플 모임,school,easy,캠퍼스
PT036,학과실로 과제 제출하러 가기,school,medium,학교 공간
PT037,서울역에서 KTX 타기,station_terminal,easy,기차역
PT038,고속버스터미널에서 부산행 탑승,station_terminal,easy,버스터미널
PT039,여객터미널에서 배 타기,station_terminal,easy,여객터미널
PT040,부산역에 오후 3시 도착,station_terminal,medium,기차역 도착
PT041,이번 주말 제주도 여행,travel_destination,easy,국내 여행지
PT042,다음 달 도쿄 여행,travel_destination,easy,해외 여행지
PT043,부산 관광하기,travel_destination,easy,관광 지역
PT044,여름휴가로 강릉 가기,travel_destination,medium,여행 목적지
PT045,내일 오후 팀플 회의,,negative,장소 없음
PT046,다음 주 엄마 생신,,negative,장소 없음
PT047,금요일까지 레포트 제출,,negative,장소 없음
PT048,주말 데이트,,negative,장소 없음
PT049,오전 10시 면접,,negative,장소 없음
PT050,여행 준비하기,,negative,목적지 없음
